Timestamp,"What is the name your university?
(তোমার বিশ্ববিদ্যালয়ের নাম কি?)","How satisfied are you with getting admitted into your university?
(তোমার বিশ্ববিদ্যালয়ে ভর্তি হতে পারে তুমি কতটুকু সন্তুষ্ট?)","What is your department?
(তোমার বিভাগ/ডিপার্টমেন্ট কোনটি?)","If your department is not listed above, then write it here:
(তোমার  বিভাগটি যদি উপরে তালিকাভুক্ত না থাকে, তবে সেটি এখানে লিখুন:)","Did you get into your desired subject or department?
(তুমি কি তোমার পছন্দের সাব্জেক্ট/ডিপার্টমেন্টে ভর্তি হতে পেরেছো?)","Which semester are you currently in?
(তুমি বর্তমানে কোন সেমিস্টারে আছো?)","What was your SGPA in the most recently completed semester?
(তোমার বিগত/সদ্য সমাপ্ত সেমিস্টারে SGPA কত ছিল?)","Before that semester, what was your CGPA?
(বিগত সেমিস্টারের আগে তোমার সিজিপিএ (CGPA) কত ছিল?)","How satisfied were you with your latest semester result?
(বিগত সেমিস্টারে ফলাফলে তুমি কতটুকু সন্তুষ্ট?)","How often were you actually present in class?
(তোমার ক্লাসে উপস্থিতি কেমন ছিল?)","Outside class, how much did you usually study per week?
(ক্লাস/লেকচার এর বাইরে , প্রতি সপ্তাহে কতটা পড়ালেখা করতে তুমি?)","Which study style sounds most like you?
(এর মধ্যে কোন ধরনের পড়ার স্টাইল তোমার সাথে মানায়?)","When a class ended, how much of the topic was usually clear to you?
(একটি ক্লাস/লেকচার শেষ হবার পর ওই ক্লাসের পাঠের বিষয় সম্পর্কে তোমার ধারণা কতটুকু পরিষ্কার হতো?)","On a normal night, how much sleep did you get?
(একটি স্বাভাবিক রাতে তুমি কতক্ষণ ঘুমাও?)","How often did stress make it difficult for you to study
(মানসিক চাপের কারণে কত ঘন ঘন  তোমার   পড়াশোনা করতে অসুবিধা হয়েছে?)","How much time did tuition, a job, club activities or other responsibilities take each week?
(টিউশন, চাকরি, ক্লাবের কার্যক্রম বা অন্যান্য দায়িত্বে প্রতি সপ্তাহে তোমার কতটা সময় ব্যয় হতো?)","How often did your phone, gaming, social media, or entertainment steal your planned study time?
( তোমার ফোন, গেমিং, সোশ্যাল মিডিয়া বা বিনোদন কত ঘন ঘন তোমার পরিকল্পিত পড়াশোনার সময় নষ্ট করেছে?)","How study-friendly was the place where you lived? 
(তোমার বাসস্থান কতটা শিক্ষাবান্ধব/শিক্ষার জন্যে উপযোগী ছিল?)","When academic life became difficult, how much support did you receive from family or close friends?  
( শিক্ষাজীবনের কঠিন সময়ে পরিবার থেকে তুমি কতটুকু সাহায্য পেতে?)","Overall, how healthy and manageable was your semester routine?
( সামগ্রিকভাবে, তোমার সেমিস্টারের দৈনন্দিন রুটিন কতটা স্বাস্থ্যকর ও সামলানো সহজ ছিল?)","Do you think this course of study will take you to your dream career?
(তোমার কি মনে ,তোমার এই পাঠ্যক্রম তোমার স্বপ্নের ভবিষ্যৎ/চাকরিজীবনে যেতে সাহায্য করবে?)"
8/26/2026 0:24,Brac,Neutral,Electrical and Electronic Engineering,,Close to what I wanted,11,3.9+,3.9+,Neutral,90% or more,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,11-15 hrs,Never,Somewhat distracting,Good support,Difficult to manage,Mostly
8/26/2026 0:32,BRAC,Satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.2+,3.2+,Very satisfied,90% or more,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Very healthy and balanced,Mostly
8/26/2026 0:33,BRAC,Neutral,Electrical and Electronic Engineering,,Close to what I wanted,10,3.2+,3.5+,Very satisfied,90% or more,7-10 hrs,Mostly consistent routine,A little,6-7 hrs,Rarely,6-10 hrs,Often,Somewhat distracting,Some support,Average,Completely
8/26/2026 0:35,BRAC,Dissatisfied,Electronics and Communication Engineering,,"Yes, exactly what I wanted",11,3.75+,3.75+,Satisfied,75-89%,Less than 3 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Sometimes,None,Almost every day,Excellent for focused study,Some support,Difficult to manage,Slightly
8/26/2026 0:37,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.0+,3.2+,Neutral,75-89%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Often,None,Often,Somewhat distracting,Some support,Mostly manageable,Somewhat
8/26/2026 0:40,BRAC,Very satisfied,Electronics and Communication Engineering,,Close to what I wanted,11,3.0+,3.0+,Neutral,75-89%,7-10 hrs,Mostly just before exams,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Excellent for focused study,Some support,Average,Somewhat
8/26/2026 0:44,BRAC,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.75+,3.75+,Neutral,90% or more,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,Slightly
8/26/2026 19:10,BRAC,Satisfied,Computer Science and Engineering,,Somewhat different,10,3.5+,3.5+,Satisfied,90% or more,Less than 3 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,None,Almost every day,Mostly suitable,No support,Mostly manageable,Mostly
8/26/2026 19:19,BUET,Very satisfied,Computer Science and Engineering,,Mostly different,7,3.2+,3.0+,Neutral,90% or more,3-6 hrs,Mostly just before exams,A little,7-8 hrs,Often,1-5 hrs,Rarely,Somewhat distracting,Good support,Very healthy and balanced,Slightly
8/26/2026 19:23,Buet,Very satisfied,Computer Science and Engineering,,Somewhat different,7,3.5+,3.5+,Neutral,75-89%,7-10 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,Completely
8/26/2026 19:24,Brac,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.2+,3.2+,Neutral,90% or more,7-10 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Rarely,None,Sometimes,Excellent for focused study,Some support,Difficult to manage,Somewhat
8/26/2026 19:27,CUET,Satisfied,Computer Science and Engineering,,Close to what I wanted,7,3.9+,3.9+,Neutral,75-89%,7-10 hrs,Regularly but not every day,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Neither good nor bad,Very little support,Average,Completely
8/26/2026 19:34,CUET,Satisfied,Electrical and Electronic Engineering,,Close to what I wanted,7,3.5+,3.75+,Dissatisfied,75-89%,3-6 hrs,Occasionally when necessary,Most of it,7-8 hrs,Almost always,6-10 hrs,Rarely,Neither good nor bad,Good support,Difficult to manage,Somewhat
8/26/2026 19:37,Brac,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.75+,3.75+,Dissatisfied,60-74%,Less than 3 hrs,Occasionally when necessary,About half,6-7 hrs,Often,1-5 hrs,Sometimes,Neither good nor bad,Very little support,Average,Completely
8/26/2026 19:42,Brac,Satisfied,Computer Science and Engineering,,Close to what I wanted,10,3.0+,3.0+,Satisfied,90% or more,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Never,1-5 hrs,Almost every day,Mostly suitable,Some support,Average,Mostly
8/26/2026 19:44,Cuet,Very satisfied,Electronics and Communication Engineering,,Close to what I wanted,7,3.2+,3.2+,Neutral,75-89%,7-10 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,Somewhat
8/26/2026 19:53,BRAC,Dissatisfied,Computer Science and Engineering,,Close to what I wanted,11,3.75+,3.75+,Satisfied,60-74%,7-10 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Very little support,Average,Mostly
8/26/2026 19:57,Brac,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.5+,Satisfied,75-89%,7-10 hrs,Occasionally when necessary,Most of it,5-6 hrs,Rarely,None,Often,Very distracting,Good support,Mostly manageable,Slightly
8/26/2026 20:03,Cuet,Satisfied,Computer Science and Engineering,,Close to what I wanted,7,3.5+,3.5+,Neutral,90% or more,3-6 hrs,Regularly but not every day,Most of it,Less than 5 hrs,Rarely,1-5 hrs,Almost every day,Mostly suitable,Good support,Completely unmanageable,Mostly
8/26/2026 20:07,BRAC,Neutral,Computer Science and Engineering,,Close to what I wanted,11,3.2+,3.2+,Satisfied,90% or more,11-15 hrs,Mostly just before exams,Most of it,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Slightly
8/26/2026 20:09,BRAC,Satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.0+,3.2+,Satisfied,60-74%,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Often,Mostly suitable,Some support,Difficult to manage,Completely
8/26/2026 20:18,BUET,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.0+,3.2+,Satisfied,90% or more,7-10 hrs,Mostly consistent routine,Most of it,7-8 hrs,Sometimes,6-10 hrs,Sometimes,Somewhat distracting,No support,Very healthy and balanced,Completely
8/26/2026 20:20,Brac,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.2+,3.2+,Neutral,75-89%,3-6 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Mostly manageable,Not at all
8/26/2026 20:22,BUET,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.75+,3.75+,Neutral,75-89%,7-10 hrs,Occasionally when necessary,A little,5-6 hrs,Sometimes,6-10 hrs,Rarely,Neither good nor bad,Very little support,Difficult to manage,Mostly
8/26/2026 20:26,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.5+,Satisfied,75-89%,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Very healthy and balanced,Mostly
8/26/2026 20:29,BRAC,Satisfied,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",11,3.5+,3.5+,Very satisfied,90% or more,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Mostly manageable,Somewhat
8/26/2026 20:32,BRAC,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.0+,3.0+,Satisfied,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,5-6 hrs,Almost always,None,Sometimes,Excellent for focused study,Some support,Average,Somewhat
8/26/2026 20:34,BUET,Neutral,,ChE,Not at all what I wanted,11,Below,3.75+,Dissatisfied,90% or more,More than 15 hrs,Mostly just before exams,A little,7-8 hrs,Never,6-10 hrs,Rarely,Mostly suitable,Good support,Difficult to manage,Somewhat
8/26/2026 20:37,BUET,Satisfied,,MME,Close to what I wanted,11,Below,Below,Satisfied,90% or more,3-6 hrs,Consistent throughout the semester,Almost everything,7-8 hrs,Often,11-15 hrs,Sometimes,Excellent for focused study,Strong support,Mostly manageable,Slightly
8/26/2026 20:40,BRAC,Neutral,Electrical and Electronic Engineering,,Close to what I wanted,11,3.9+,3.9+,Satisfied,90% or more,Less than 3 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,1-5 hrs,Almost every day,Somewhat distracting,Some support,Very healthy and balanced,Mostly
8/26/2026 20:41,BUET,Very satisfied,,NCE,"Yes, exactly what I wanted",4,3.75+,3.75+,Dissatisfied,60-74%,3-6 hrs,Regularly but not every day,A little,More than 8 hrs,Never,6-10 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Mostly
8/26/2026 20:45,BUET,Neutral,,Petroleum and Mineral Resources Engineering,Mostly different,5,3.2+,3.9+,Neutral,90% or more,More than 15 hrs,Mostly just before exams,Most of it,7-8 hrs,Almost always,6-10 hrs,Rarely,Neither good nor bad,No support,Average,Completely
8/26/2026 20:45,BRAC,Satisfied,Electrical and Electronic Engineering,,Somewhat different,10,3.2+,3.2+,Neutral,90% or more,7-10 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,1-5 hrs,Rarely,Mostly suitable,Some support,Mostly manageable,Not at all
8/26/2026 20:48,BUET,Neutral,Mechanical Engineering,,Somewhat different,6,Below,3.5+,Neutral,60-74%,More than 15 hrs,Mostly consistent routine,Almost nothing,7-8 hrs,Almost always,None,Almost every day,Mostly suitable,Very little support,Completely unmanageable,Slightly
8/26/2026 20:51,BUET,Satisfied,,Industrial and Production Engineering,Not at all what I wanted,1,3.5+,3.0+,Neutral,60-74%,7-10 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Never,11-15 hrs,Rarely,Very distracting,Some support,Completely unmanageable,Somewhat
8/26/2026 20:54,BUET,Satisfied,,NAME,Somewhat different,9,3.9+,3.2+,Very satisfied,75-89%,3-6 hrs,Occasionally when necessary,Almost nothing,6-7 hrs,Sometimes,6-10 hrs,Rarely,Neither good nor bad,No support,Very healthy and balanced,Somewhat
8/26/2026 20:56,BUET,Very satisfied,,Mechatronics and Industrial Engineering,Not at all what I wanted,10,Below,3.75+,Neutral,60-74%,Less than 3 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Rarely,None,Sometimes,Excellent for focused study,Good support,Very healthy and balanced,Completely
8/26/2026 21:00,BUET,Very satisfied,,EEE,Mostly different,3,Below,3.0+,Satisfied,75-89%,11-15 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,No support,Average,Not at all
8/26/2026 21:04,BUET,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",4,3.5+,3.75+,Dissatisfied,75-89%,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Rarely,None,Never,Somewhat distracting,No support,Average,Completely
8/26/2026 21:06,BUET,Very satisfied,,BME,Somewhat different,4,Below,3.75+,Satisfied,90% or more,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Some support,Completely unmanageable,Not at all
8/26/2026 21:09,BUET,Satisfied,Architecture,,Somewhat different,1,3.0+,3.2+,Very dissatisfied,90% or more,3-6 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,None,Rarely,Mostly suitable,Good support,Difficult to manage,Somewhat
8/26/2026 21:13,BUET,Neutral,,URP,Close to what I wanted,1,3.75+,3.75+,Neutral,75-89%,More than 15 hrs,Occasionally when necessary,A little,More than 8 hrs,Sometimes,None,Never,Very distracting,Good support,Average,Not at all
8/26/2026 21:16,BUET,Satisfied,,CE,Somewhat different,5,3.5+,3.5+,Satisfied,75-89%,More than 15 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,11-15 hrs,Almost every day,Neither good nor bad,Strong support,Difficult to manage,Somewhat
8/26/2026 21:18,BUET,Satisfied,,WRE,Close to what I wanted,10,3.0+,3.9+,Very satisfied,75-89%,More than 15 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Almost always,1-5 hrs,Rarely,Neither good nor bad,Some support,Difficult to manage,Completely
8/26/2026 21:20,BUET,Very satisfied,Chemical Engineering,,Somewhat different,8,3.5+,3.0+,Very dissatisfied,75-89%,7-10 hrs,Regularly but not every day,Almost nothing,7-8 hrs,Often,11-15 hrs,Never,Mostly suitable,Some support,Mostly manageable,Mostly
8/26/2026 21:24,BUET,Satisfied,,Materials and Metallurgical Engineering,Close to what I wanted,10,3.0+,3.2+,Dissatisfied,60-74%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Completely unmanageable,Completely
8/26/2026 21:26,BUET,Satisfied,,Nanomaterials and Ceramic Engineering,Not at all what I wanted,7,3.0+,3.5+,Very satisfied,90% or more,7-10 hrs,Mostly consistent routine,About half,7-8 hrs,Sometimes,More than 15 hrs,Sometimes,Mostly suitable,Good support,Mostly manageable,Somewhat
8/26/2026 21:30,BUET,Neutral,,PMRE,Not at all what I wanted,8,3.2+,3.2+,Satisfied,60-74%,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Neither good nor bad,Some support,Average,Completely
8/26/2026 21:32,BUET,Very satisfied,,ME,Mostly different,12,3.5+,3.0+,Satisfied,60-74%,11-15 hrs,Mostly just before exams,Most of it,More than 8 hrs,Often,6-10 hrs,Never,Very distracting,Good support,Mostly manageable,Mostly
8/26/2026 21:33,BRAC,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.5+,Satisfied,90% or more,3-6 hrs,Occasionally when necessary,A little,5-6 hrs,Sometimes,6-10 hrs,Sometimes,Neither good nor bad,Good support,Average,Somewhat
8/26/2026 21:35,BUET,Neutral,,IPE,Not at all what I wanted,6,Below,3.2+,Very dissatisfied,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,Less than 5 hrs,Never,None,Rarely,Very distracting,Some support,Mostly manageable,Somewhat
8/26/2026 21:38,BUET,Very satisfied,,NAME,"Yes, exactly what I wanted",11,3.0+,3.2+,Satisfied,90% or more,3-6 hrs,Regularly but not every day,A little,7-8 hrs,Never,11-15 hrs,Sometimes,Excellent for focused study,Some support,Average,Somewhat
8/26/2026 21:40,Brac,Satisfied,Electrical and Electronic Engineering,,Not at all what I wanted,10,3.9+,3.9+,Satisfied,90% or more,Less than 3 hrs,Mostly just before exams,Almost everything,6-7 hrs,Almost always,11-15 hrs,Often,Mostly suitable,Strong support,Average,Slightly
8/26/2026 21:41,BUET,Very satisfied,,MIE,"Yes, exactly what I wanted",1,Below,3.9+,Very satisfied,75-89%,7-10 hrs,Mostly just before exams,Almost everything,6-7 hrs,Rarely,11-15 hrs,Almost every day,Mostly suitable,Good support,Average,Completely
8/26/2026 21:45,BUET,Neutral,Electrical and Electronic Engineering,,Mostly different,5,3.75+,3.5+,Satisfied,90% or more,3-6 hrs,Occasionally when necessary,Almost nothing,5-6 hrs,Often,6-10 hrs,Often,Neither good nor bad,Strong support,Average,Not at all
8/26/2026 21:47,BUET,Very satisfied,,CSE,"Yes, exactly what I wanted",11,3.0+,3.0+,Very dissatisfied,90% or more,Less than 3 hrs,Occasionally when necessary,Almost everything,6-7 hrs,Rarely,11-15 hrs,Sometimes,Mostly suitable,Very little support,Mostly manageable,Completely
8/26/2026 21:48,BRAC,Satisfied,Electronics and Communication Engineering,,Somewhat different,11,3.0+,3.0+,Satisfied,90% or more,3-6 hrs,Regularly but not every day,About half,Less than 5 hrs,Rarely,1-5 hrs,Sometimes,Very distracting,Some support,Average,Slightly
8/26/2026 21:50,BUET,Neutral,,BME,Mostly different,4,3.5+,3.2+,Dissatisfied,75-89%,Less than 3 hrs,Regularly but not every day,A little,Less than 5 hrs,Often,6-10 hrs,Almost every day,Somewhat distracting,Good support,Very healthy and balanced,Mostly
8/26/2026 21:52,BUET,Satisfied,,Arch,Not at all what I wanted,1,3.2+,3.2+,Dissatisfied,75-89%,3-6 hrs,Mostly consistent routine,Almost everything,Less than 5 hrs,Rarely,6-10 hrs,Never,Very distracting,Good support,Mostly manageable,Slightly
8/26/2026 21:56,BUET,Satisfied,Urban and Regional Planning,,"Yes, exactly what I wanted",9,Below,3.2+,Dissatisfied,60-74%,3-6 hrs,Regularly but not every day,About half,6-7 hrs,Almost always,More than 15 hrs,Rarely,Very distracting,Strong support,Very healthy and balanced,Slightly
8/26/2026 21:58,Brac,Satisfied,Electronics and Communication Engineering,,"Yes, exactly what I wanted",10,3.0+,3.2+,Neutral,90% or more,Less than 3 hrs,Regularly but not every day,Almost nothing,7-8 hrs,Sometimes,None,Sometimes,Somewhat distracting,Good support,Mostly manageable,Mostly
8/26/2026 21:59,BUET,Satisfied,,CE,"Yes, exactly what I wanted",12,3.0+,3.0+,Satisfied,90% or more,Less than 3 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,None,Often,Excellent for focused study,No support,Mostly manageable,Slightly
8/26/2026 22:01,BRAC,Satisfied,Electrical and Electronic Engineering,,Mostly different,11,Below,3.0+,Satisfied,90% or more,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,6-10 hrs,Almost every day,Very distracting,Some support,Mostly manageable,Slightly
8/26/2026 22:02,BUET,Very satisfied,,WRE,Close to what I wanted,2,3.75+,Below,Satisfied,90% or more,11-15 hrs,Consistent throughout the semester,Almost nothing,6-7 hrs,Rarely,None,Often,Somewhat distracting,No support,Very healthy and balanced,Slightly
8/26/2026 22:05,BUET,Very satisfied,Chemical Engineering,,Close to what I wanted,3,3.9+,3.75+,Satisfied,75-89%,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Often,Very distracting,Strong support,Mostly manageable,Completely
8/26/2026 22:08,BUET,Very satisfied,,MME,"Yes, exactly what I wanted",12,3.9+,3.0+,Neutral,75-89%,Less than 3 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,More than 15 hrs,Almost every day,Neither good nor bad,No support,Completely unmanageable,Somewhat
8/26/2026 22:11,BUET,Neutral,,NCE,Not at all what I wanted,12,3.9+,3.2+,Neutral,75-89%,11-15 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Sometimes,11-15 hrs,Never,Very distracting,No support,Average,Slightly
8/26/2026 22:12,Brac,Neutral,Computer Science and Engineering,,Close to what I wanted,10,3.75+,3.75+,Satisfied,90% or more,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Sometimes,6-10 hrs,Almost every day,Mostly suitable,Good support,Average,Mostly
8/26/2026 22:14,BUET,Neutral,,Petroleum and Mineral Resources Engineering,Not at all what I wanted,7,3.2+,3.5+,Very satisfied,75-89%,Less than 3 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Rarely,More than 15 hrs,Never,Somewhat distracting,No support,Mostly manageable,Mostly
8/26/2026 22:18,BUET,Satisfied,,ME,Somewhat different,11,3.9+,3.9+,Dissatisfied,60-74%,Less than 3 hrs,Regularly but not every day,A little,Less than 5 hrs,Rarely,More than 15 hrs,Almost every day,Somewhat distracting,Very little support,Very healthy and balanced,Mostly
8/26/2026 22:18,BRAC,Satisfied,Computer Science and Engineering,,Close to what I wanted,11,Below,3.0+,Satisfied,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Often,11-15 hrs,Often,Somewhat distracting,Strong support,Average,Somewhat
8/26/2026 22:20,BUET,Very satisfied,,IPE,Close to what I wanted,11,Below,3.0+,Neutral,75-89%,7-10 hrs,Mostly just before exams,Most of it,More than 8 hrs,Almost always,1-5 hrs,Rarely,Very distracting,Some support,Mostly manageable,Completely
8/26/2026 22:23,Brac,Very satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.2+,3.5+,Neutral,75-89%,3-6 hrs,Occasionally when necessary,Almost everything,7-8 hrs,Almost always,6-10 hrs,Often,Somewhat distracting,Very little support,Average,Mostly
8/26/2026 22:23,BUET,Satisfied,,NAME,Close to what I wanted,5,3.0+,3.5+,Neutral,75-89%,More than 15 hrs,Mostly just before exams,Almost everything,Less than 5 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Good support,Mostly manageable,Not at all
8/26/2026 22:27,BUET,Neutral,,Mechatronics and Industrial Engineering,Mostly different,9,3.0+,3.5+,Very satisfied,60-74%,Less than 3 hrs,Mostly just before exams,Almost everything,6-7 hrs,Sometimes,1-5 hrs,Never,Somewhat distracting,No support,Very healthy and balanced,Mostly
8/26/2026 22:30,BUET,Very satisfied,Electrical and Electronic Engineering,,Close to what I wanted,4,3.75+,Below,Neutral,90% or more,3-6 hrs,Mostly consistent routine,A little,5-6 hrs,Rarely,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,Completely
8/26/2026 22:31,BRAC,Satisfied,Computer Science and Engineering,,Somewhat different,11,3.5+,3.5+,Very satisfied,90% or more,Less than 3 hrs,Occasionally when necessary,Most of it,7-8 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Average,Somewhat
8/26/2026 22:32,BRAC,Neutral,Computer Science and Engineering,,Somewhat different,11,3.2+,3.5+,Dissatisfied,75-89%,7-10 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,More than 15 hrs,Almost every day,Mostly suitable,Good support,Average,Somewhat
8/26/2026 22:34,BUET,Very satisfied,,CSE,"Yes, exactly what I wanted",3,3.5+,3.0+,Very dissatisfied,90% or more,Less than 3 hrs,Consistent throughout the semester,Most of it,More than 8 hrs,Almost always,More than 15 hrs,Rarely,Excellent for focused study,Strong support,Very healthy and balanced,Mostly
8/26/2026 22:36,Brac,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.5+,Satisfied,90% or more,7-10 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,6-10 hrs,Sometimes,Somewhat distracting,Some support,Average,Slightly
8/26/2026 22:37,BUET,Very satisfied,Biomedical Engineering,,Somewhat different,5,3.0+,3.9+,Satisfied,90% or more,7-10 hrs,Regularly but not every day,Most of it,5-6 hrs,Never,1-5 hrs,Almost every day,Mostly suitable,Very little support,Average,Completely
8/26/2026 22:39,BUET,Neutral,Architecture,,Close to what I wanted,6,3.5+,3.75+,Neutral,90% or more,7-10 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Completely unmanageable,Mostly
8/26/2026 22:42,BRAC,Neutral,Computer Science and Engineering,,Close to what I wanted,10,3.2+,3.2+,Satisfied,75-89%,Less than 3 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,None,Almost every day,Neither good nor bad,Good support,Average,Somewhat
8/26/2026 22:43,BUET,Neutral,Urban and Regional Planning,,Not at all what I wanted,3,3.2+,3.75+,Dissatisfied,60-74%,3-6 hrs,Mostly consistent routine,Most of it,6-7 hrs,Never,None,Often,Neither good nor bad,No support,Average,Slightly
8/26/2026 22:46,BUET,Satisfied,,CE,Not at all what I wanted,10,3.2+,3.2+,Satisfied,60-74%,More than 15 hrs,Regularly but not every day,Almost everything,More than 8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,No support,Mostly manageable,Not at all
8/26/2026 22:47,BRAC,Satisfied,Electrical and Electronic Engineering,,Close to what I wanted,11,3.9+,3.9+,Very satisfied,75-89%,7-10 hrs,Regularly but not every day,Almost nothing,6-7 hrs,Almost always,1-5 hrs,Sometimes,Mostly suitable,Good support,Difficult to manage,Mostly
8/26/2026 22:48,BUET,Neutral,,Water Resources Engineering,Not at all what I wanted,10,3.75+,3.0+,Very dissatisfied,75-89%,3-6 hrs,Mostly just before exams,A little,More than 8 hrs,Almost always,11-15 hrs,Rarely,Excellent for focused study,No support,Completely unmanageable,Not at all
8/26/2026 22:51,BUET,Very satisfied,,ChE,"Yes, exactly what I wanted",1,3.5+,3.2+,Neutral,60-74%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Almost always,6-10 hrs,Rarely,Very distracting,Very little support,Mostly manageable,Slightly
8/26/2026 22:53,BUET,Neutral,,Materials and Metallurgical Engineering,Not at all what I wanted,12,3.2+,3.0+,Very dissatisfied,90% or more,3-6 hrs,Regularly but not every day,About half,5-6 hrs,Often,6-10 hrs,Rarely,Mostly suitable,Very little support,Completely unmanageable,Mostly
8/26/2026 22:55,BRAC,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.2+,3.5+,Neutral,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Mostly
8/26/2026 22:56,BUET,Satisfied,,Nanomaterials and Ceramic Engineering,"Yes, exactly what I wanted",3,3.0+,3.9+,Neutral,90% or more,11-15 hrs,Regularly but not every day,Almost everything,5-6 hrs,Never,None,Sometimes,Very distracting,No support,Mostly manageable,Not at all
